customer_id,event,time
139,depart,146.8429770957327
140,start,146.8429770957327
141,arrive,147.41005866143487
142,arrive,147.61145107877175
143,arrive,149.04935492946925
140,depart,149.08776798454224
141,start,149.08776798454224
141,depart,149.58038625445747
142,start,149.58038625445747
142,depart,149.61575166980234
143,start,149.61575166980234
143,depart,150.10433274718187
144,arrive,151.71441797871864
144,start,151.71441797871864
145,arrive,152.4375215297717
144,depart,153.04169787136956
145,start,153.04169787136956
146,arrive,153.0569427617417
145,depart,153.63433313329386
146,start,153.63433313329386
147,arrive,153.9935130700554
146,depart,154.65154291970836
147,start,154.65154291970836
148,arrive,155.41729837434858
147,depart,156.05988485832182
148,start,156.05988485832182
149,arrive,156.8022572489305
148,depart,156.89081222372343
149,start,156.89081222372343
149,depart,157.50351465206344
150,arrive,158.22970008636585
150,start,158.22970008636585
151,arrive,158.83129394957086
152,arrive,159.0877777260092
153,arrive,159.38812632042476
150,depart,159.62704484401465
151,start,159.62704484401465
151,depart,160.59911721051196
152,start,160.59911721051196
152,depart,161.0182308914764
153,start,161.0182308914764
154,arrive,161.46658947600008
153,depart,161.52342252519108
154,start,161.52342252519108
155,arrive,161.91308421785874
154,depart,162.15502433761623
155,start,162.15502433761623
156,arrive,162.2227103095573
157,arrive,164.09102957023714
158,arrive,164.54241785406433
159,arrive,164.66382623012603
160,arrive,164.85272814447873
161,arrive,165.14354704619754
155,depart,165.62432177625897
156,start,165.62432177625897
156,depart,166.0310654941201
157,start,166.0310654941201
157,depart,166.2079873685616
158,start,166.2079873685616
158,depart,166.37482954739318
159,start,166.37482954739318
159,depart,167.02635695812114
160,start,167.02635695812114
162,arrive,167.8985045291879
160,depart,168.53626330147787
161,start,168.53626330147787
163,arrive,168.9380642128106
161,depart,169.0492994742243
162,start,169.0492994742243
162,depart,169.6037533379219
163,start,169.6037533379219
164,arrive,169.7813936061552
163,depart,170.0643794129078
164,start,170.0643794129078
164,depart,170.44050209655845
165,arrive,173.8772211811782
165,start,173.8772211811782
165,depart,175.19171972991106
166,arrive,175.56354944434992
166,start,175.56354944434992
167,arrive,176.25816488433242
166,depart,176.43190152195282
